epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,800.044,0.84049,0.4138,1.04589,0.99642,1,0.995,0.78117,0.89798,0.32407,1.00687,0.0007526,0.0007526,0.0007526
65,813.743,0.84877,0.41024,1.05275,0.99626,1,0.995,0.79466,0.88581,0.311,0.99176,0.0007328,0.0007328,0.0007328
66,827.742,0.86332,0.41842,1.06061,0.99976,1,0.995,0.78032,0.88503,0.31647,0.99387,0.000713,0.000713,0.000713
67,840.064,0.84297,0.40949,1.05146,0.9987,1,0.995,0.77358,0.87316,0.31624,0.98609,0.0006932,0.0006932,0.0006932
68,852.332,0.84894,0.40588,1.05409,0.99973,1,0.995,0.79626,0.8761,0.30354,0.99134,0.0006734,0.0006734,0.0006734
69,865.639,0.82829,0.39984,1.04767,0.99851,1,0.995,0.78722,0.886,0.30827,1.01354,0.0006536,0.0006536,0.0006536
70,878.628,0.83693,0.40297,1.04738,0.9995,1,0.995,0.78427,0.88027,0.30606,0.99455,0.0006338,0.0006338,0.0006338
71,892.309,0.82733,0.39959,1.04083,0.99964,1,0.995,0.79585,0.86841,0.30169,0.9892,0.000614,0.000614,0.000614
72,905.87,0.82687,0.39734,1.03803,0.99942,1,0.995,0.79253,0.87072,0.30167,0.99017,0.0005942,0.0005942,0.0005942
73,918.796,0.83149,0.39711,1.05162,0.99964,1,0.995,0.79438,0.87492,0.30198,0.98764,0.0005744,0.0005744,0.0005744
74,932.333,0.83292,0.39729,1.04287,0.99965,1,0.995,0.79067,0.87739,0.3021,0.98757,0.0005546,0.0005546,0.0005546
75,944.828,0.80121,0.39133,1.03473,0.99965,1,0.995,0.79398,0.86096,0.29386,0.97751,0.0005348,0.0005348,0.0005348
76,956.642,0.82663,0.39071,1.04191,0.99965,1,0.995,0.78938,0.85868,0.2962,0.98348,0.000515,0.000515,0.000515
77,968.507,0.79446,0.38047,1.02963,0.99636,1,0.995,0.79227,0.86745,0.29533,0.98638,0.0004952,0.0004952,0.0004952
78,981.892,0.83334,0.38444,1.04406,0.99973,1,0.995,0.79144,0.86454,0.28778,0.98057,0.0004754,0.0004754,0.0004754
79,995.397,0.82973,0.39051,1.04689,0.9996,1,0.995,0.79172,0.86883,0.2892,0.98334,0.0004556,0.0004556,0.0004556
80,1009.11,0.80078,0.3901,1.03058,0.99965,1,0.995,0.79802,0.86788,0.28972,0.98202,0.0004358,0.0004358,0.0004358
81,1022.33,0.81798,0.39098,1.04086,0.99939,1,0.995,0.78838,0.8628,0.29146,0.97878,0.000416,0.000416,0.000416
82,1034.77,0.79859,0.37761,1.02459,0.99978,1,0.995,0.80233,0.86229,0.28823,0.97742,0.0003962,0.0003962,0.0003962
83,1046.43,0.81516,0.38043,1.03454,0.99978,1,0.995,0.80257,0.86376,0.28746,0.9769,0.0003764,0.0003764,0.0003764
84,1057.48,0.82949,0.38581,1.049,0.99979,1,0.995,0.79671,0.86816,0.28457,0.98069,0.0003566,0.0003566,0.0003566
85,1068.84,0.8129,0.37945,1.03344,0.99938,1,0.995,0.79928,0.86655,0.28504,0.98074,0.0003368,0.0003368,0.0003368
86,1079.85,0.79162,0.37692,1.01828,0.9963,1,0.995,0.8009,0.86995,0.28994,0.98115,0.000317,0.000317,0.000317
87,1091.16,0.80187,0.3732,1.04077,0.99632,1,0.9949,0.80224,0.86358,0.27979,0.97745,0.0002972,0.0002972,0.0002972
88,1102.95,0.82113,0.37808,1.05006,0.99912,1,0.995,0.79738,0.86946,0.28213,0.98067,0.0002774,0.0002774,0.0002774
89,1115.08,0.78941,0.3736,1.02606,0.99978,1,0.995,0.78194,0.86573,0.28243,0.98042,0.0002576,0.0002576,0.0002576
90,1128.89,0.8066,0.37224,1.02873,0.99985,1,0.995,0.78654,0.86819,0.27989,0.98041,0.0002378,0.0002378,0.0002378
91,1143.36,0.77766,0.29723,1.04993,0.99976,1,0.995,0.79007,0.86837,0.29335,0.97941,0.000218,0.000218,0.000218
92,1157.09,0.77723,0.29402,1.04849,0.99979,1,0.995,0.80162,0.86917,0.28936,0.98043,0.0001982,0.0001982,0.0001982
93,1171.08,0.77976,0.30054,1.04396,0.99977,1,0.995,0.79572,0.87067,0.29034,0.98388,0.0001784,0.0001784,0.0001784
94,1184.85,0.77443,0.29582,1.05017,0.99889,1,0.995,0.80024,0.86705,0.28628,0.98317,0.0001586,0.0001586,0.0001586
95,1198.49,0.76281,0.28576,1.03905,0.99979,1,0.995,0.79479,0.86365,0.28737,0.97578,0.0001388,0.0001388,0.0001388
96,1212.09,0.75769,0.28653,1.02928,0.99979,1,0.995,0.79561,0.87054,0.2861,0.98198,0.000119,0.000119,0.000119
97,1225.67,0.76254,0.28381,1.03668,0.99979,1,0.995,0.79848,0.86597,0.28303,0.97868,9.92e-05,9.92e-05,9.92e-05
98,1239.19,0.74966,0.28636,1.03357,0.99956,1,0.995,0.79892,0.86652,0.28632,0.97885,7.94e-05,7.94e-05,7.94e-05
99,1251.52,0.74684,0.28315,1.03168,0.99958,1,0.995,0.79708,0.86365,0.28392,0.9778,5.96e-05,5.96e-05,5.96e-05
100,1263.55,0.7576,0.28131,1.03532,0.9996,1,0.995,0.79593,0.86085,0.28328,0.97519,3.98e-05,3.98e-05,3.98e-05
